Time[s], 通道 0, 通道 1, 通道 3, 通道 4, 通道 5, 通道 6
0.048330000, 0, 0, 0, 0, 0, 0
0.048360000, 0, 0, 0, 1, 0, 0
0.048530000, 0, 0, 1, 1, 0, 0
0.048740000, 0, 0, 0, 1, 0, 0
0.048780000, 0, 0, 0, 0, 0, 0
0.048950000, 0, 0, 1, 0, 0, 0
0.049160000, 0, 0, 0, 0, 0, 0
0.049200000, 0, 0, 0, 1, 0, 0
0.049370000, 0, 0, 1, 1, 0, 0
0.049580000, 0, 0, 0, 1, 0, 0
0.049620000, 0, 0, 0, 0, 0, 0
0.049780000, 0, 0, 1, 0, 0, 0
0.049990000, 0, 0, 0, 0, 0, 0
0.050030000, 0, 0, 0, 1, 0, 0
0.050200000, 0, 0, 1, 1, 0, 0
0.050410000, 0, 0, 0, 1, 0, 0
0.050450000, 0, 0, 0, 0, 0, 0
0.050620000, 0, 0, 1, 0, 0, 0
0.050830000, 0, 0, 0, 0, 0, 0
0.050870000, 0, 0, 0, 1, 0, 0
0.051030000, 0, 0, 1, 1, 0, 0
0.051240000, 0, 0, 0, 1, 0, 0
0.051290000, 0, 0, 0, 0, 0, 0
0.051450000, 0, 0, 1, 0, 0, 0
0.051660000, 0, 0, 0, 0, 0, 0
0.051710000, 0, 0, 0, 1, 0, 0
0.051870000, 0, 0, 1, 1, 0, 0
0.052080000, 0, 0, 0, 1, 0, 0
0.052130000, 0, 0, 0, 0, 0, 0
0.052280000, 0, 0, 1, 0, 0, 0
0.052490000, 0, 0, 0, 0, 0, 0
0.052540000, 0, 0, 0, 1, 0, 0
0.052700000, 0, 0, 1, 1, 0, 0
0.052910000, 0, 0, 0, 1, 0, 0
0.052960000, 0, 0, 0, 0, 0, 0
0.053120000, 0, 0, 1, 0, 0, 0
0.053330000, 0, 0, 0, 0, 0, 0
0.053380000, 0, 0, 0, 1, 0, 0
0.053530000, 0, 0, 1, 1, 0, 0
0.053740000, 0, 0, 0, 1, 0, 0
0.053800000, 0, 0, 0, 0, 0, 0
0.053950000, 0, 0, 1, 0, 0, 0
0.054160000, 0, 0, 0, 0, 0, 0
0.054220000, 0, 0, 0, 1, 0, 0
0.054370000, 0, 0, 1, 1, 0, 0
0.054580000, 0, 0, 0, 1, 0, 0
0.054640000, 0, 0, 0, 0, 0, 0
0.054780000, 0, 0, 1, 0, 0, 0
0.055000000, 0, 0, 0, 0, 0, 0
0.055060000, 0, 0, 0, 1, 0, 0
0.055200000, 0, 0, 1, 1, 0, 0
0.055410000, 0, 0, 0, 1, 0, 0
0.055480000, 0, 0, 0, 0, 0, 0
0.055620000, 0, 0, 1, 0, 0, 0
0.055830000, 0, 0, 0, 0, 0, 0
0.055890000, 0, 0, 0, 1, 0, 0
0.056040000, 0, 0, 1, 1, 0, 0
0.056250000, 0, 0, 0, 1, 0, 0
0.056310000, 0, 0, 0, 0, 0, 0
0.056450000, 0, 0, 1, 0, 0, 0
0.056660000, 0, 0, 0, 0, 0, 0
0.056730000, 0, 0, 0, 1, 0, 0
0.056870000, 0, 0, 1, 1, 0, 0
0.057080000, 0, 0, 0, 1, 0, 0
0.057150000, 0, 0, 0, 0, 0, 0
0.057290000, 0, 0, 1, 0, 0, 0
0.057500000, 0, 0, 0, 0, 0, 0
0.057570000, 0, 0, 0, 1, 0, 0
0.057700000, 0, 0, 1, 1, 0, 0
0.057910000, 0, 0, 0, 1, 0, 0
0.057990000, 0, 0, 0, 0, 0, 0
0.058120000, 0, 0, 1, 0, 0, 0
0.058330000, 0, 0, 0, 0, 0, 0
0.058400000, 0, 0, 0, 1, 0, 0
0.058540000, 0, 0, 1, 1, 0, 0
0.058750000, 0, 0, 0, 1, 0, 0
0.058820000, 0, 0, 0, 0, 0, 0
0.058950000, 0, 0, 1, 0, 0, 0
0.059160000, 0, 0, 0, 0, 0, 0
0.059240000, 0, 0, 0, 1, 0, 0
0.059370000, 0, 0, 1, 1, 0, 0
0.059580000, 0, 0, 0, 1, 0, 0
0.059660000, 0, 0, 0, 0, 0, 0
0.059790000, 0, 0, 1, 0, 0, 0
0.060000000, 0, 0, 0, 0, 0, 0
0.060080000, 0, 0, 0, 1, 0, 0
0.060200000, 0, 0, 1, 1, 0, 0
0.060410000, 0, 0, 0, 1, 0, 0
0.060500000, 0, 0, 0, 0, 0, 0
0.060620000, 0, 0, 1, 0, 0, 0
0.060830000, 0, 0, 0, 0, 0, 0
0.060910000, 0, 0, 0, 1, 0, 0
0.061040000, 0, 0, 1, 1, 0, 0
0.061250000, 0, 0, 0, 1, 0, 0
0.061330000, 0, 0, 0, 0, 0, 0
0.061450000, 0, 0, 1, 0, 0, 0
0.061660000, 0, 0, 0, 0, 0, 0
0.061750000, 0, 0, 0, 1, 0, 0
0.061870000, 0, 0, 1, 1, 0, 0
0.062080000, 0, 0, 0, 1, 0, 0
0.062170000, 0, 0, 0, 0, 0, 0
0.062290000, 0, 0, 1, 0, 0, 0
0.062500000, 0, 0, 0, 0, 0, 0
0.062590000, 0, 0, 0, 1, 0, 0
0.062700000, 0, 0, 1, 1, 0, 0
0.062910000, 0, 0, 0, 1, 0, 0
0.063010000, 0, 0, 0, 0, 0, 0
0.063120000, 0, 0, 1, 0, 0, 0
0.063330000, 0, 0, 0, 0, 0, 0
0.063420000, 0, 0, 0, 1, 0, 0
0.063540000, 0, 0, 1, 1, 0, 0
0.063750000, 0, 0, 0, 1, 0, 0
0.063840000, 0, 0, 0, 0, 0, 0
0.063950000, 0, 0, 1, 0, 0, 0
0.064160000, 0, 0, 0, 0, 0, 0
0.064260000, 0, 0, 0, 1, 0, 0
0.064370000, 0, 0, 1, 1, 0, 0
0.064580000, 0, 0, 0, 1, 0, 0
0.064680000, 0, 0, 0, 0, 0, 0
0.064790000, 0, 0, 1, 0, 0, 0
0.065000000, 0, 0, 0, 0, 0, 0
0.065100000, 0, 0, 0, 1, 0, 0
0.065200000, 0, 0, 1, 1, 0, 0
0.065410000, 0, 0, 0, 1, 0, 0
0.065520000, 0, 0, 0, 0, 0, 0
0.065620000, 0, 0, 1, 0, 0, 0
0.065830000, 0, 0, 0, 0, 0, 0
0.065930000, 0, 0, 0, 1, 0, 0
0.066040000, 0, 0, 1, 1, 0, 0
0.066250000, 0, 0, 0, 1, 0, 0
0.066350000, 0, 0, 0, 0, 0, 0
0.066450000, 0, 0, 1, 0, 0, 0
0.066660000, 0, 0, 0, 0, 0, 0
0.066770000, 0, 0, 0, 1, 0, 0
0.066870000, 0, 0, 1, 1, 0, 0
0.067080000, 0, 0, 0, 1, 0, 0
0.067190000, 0, 0, 0, 0, 0, 0
0.067290000, 0, 0, 1, 0, 0, 0
0.067500000, 0, 0, 0, 0, 0, 0
0.067610000, 0, 0, 0, 1, 0, 0
0.067700000, 0, 0, 1, 1, 0, 0
0.067910000, 0, 0, 0, 1, 0, 0
0.068030000, 0, 0, 0, 0, 0, 0
0.068120000, 0, 0, 1, 0, 0, 0
0.068330000, 0, 0, 0, 0, 0, 0
0.068450000, 0, 0, 0, 1, 0, 0
0.068540000, 0, 0, 1, 1, 0, 0
0.068750000, 0, 0, 0, 1, 0, 0
0.068870000, 0, 0, 0, 0, 0, 0
0.068950000, 0, 0, 1, 0, 0, 0
0.069160000, 0, 0, 0, 0, 0, 0
0.069280000, 0, 0, 0, 1, 0, 0
0.069370000, 0, 0, 1, 1, 0, 0
0.069580000, 0, 0, 0, 1, 0, 0
0.069700000, 0, 0, 0, 0, 0, 0
0.069790000, 0, 0, 1, 0, 0, 0
0.070000000, 0, 0, 0, 0, 0, 0
0.070120000, 0, 0, 0, 1, 0, 0
0.070210000, 0, 0, 1, 1, 0, 0
0.070420000, 0, 0, 0, 1, 0, 0
0.070540000, 0, 0, 0, 0, 0, 0
0.070620000, 0, 0, 1, 0, 0, 0
0.070830000, 0, 0, 0, 0, 0, 0
0.070960000, 0, 0, 0, 1, 0, 0
0.071040000, 0, 0, 1, 1, 0, 0
0.071250000, 0, 0, 0, 1, 0, 0
0.071380000, 0, 0, 0, 0, 0, 0
0.071460000, 0, 0, 1, 0, 0, 0
0.071670000, 0, 0, 0, 0, 0, 0
0.071790000, 0, 0, 0, 1, 0, 0
0.071870000, 0, 0, 1, 1, 0, 0
0.072080000, 0, 0, 0, 1, 0, 0
0.072210000, 0, 0, 0, 0, 0, 0
0.072290000, 0, 0, 1, 0, 0, 0
0.072500000, 0, 0, 0, 0, 0, 0
0.072630000, 0, 0, 0, 1, 0, 0
0.072710000, 0, 0, 1, 1, 0, 0
0.072920000, 0, 0, 0, 1, 0, 0
0.073050000, 0, 0, 0, 0, 0, 0
0.073120000, 0, 0, 1, 0, 0, 0
0.073330000, 0, 0, 0, 0, 0, 0
0.073470000, 0, 0, 0, 1, 0, 0
0.073540000, 0, 0, 1, 1, 0, 0
0.073750000, 0, 0, 0, 1, 0, 0
0.073890000, 0, 0, 0, 0, 0, 0
0.073960000, 0, 0, 1, 0, 0, 0
0.074170000, 0, 0, 0, 0, 0, 0
0.074300000, 0, 0, 0, 1, 0, 0
0.074370000, 0, 0, 1, 1, 0, 0
0.074580000, 0, 0, 0, 1, 0, 0
0.074720000, 0, 0, 0, 0, 0, 0
0.074790000, 0, 0, 1, 0, 0, 0
0.075000000, 0, 0, 0, 0, 0, 0
0.075140000, 0, 0, 0, 1, 0, 0
0.075210000, 0, 0, 1, 1, 0, 0
0.075420000, 0, 0, 0, 1, 0, 0
0.075560000, 0, 0, 0, 0, 0, 0
0.075620000, 0, 0, 1, 0, 0, 0
0.075830000, 0, 0, 0, 0, 0, 0
